Retail,year,Employee,Store,Operating expense,Inventories,Net Sales,Cost of sales
Kesko,2022,"17,841","1,756","2,273,285,024","1,302,255,722","13,787,285,116","12,030,745,997"
Kesko,2023,"17,702","1,691","2,170,866,335","1,191,031,596","13,099,039,989","11,026,849,397"
Kesko,2024,"18,309","1,619","2,326,517,364","1,191,712,647","12,896,353,998","11,018,175,917"
Colruyt,2020,"30,631",601,"2,883,391,652","820,474,120","12,489,613,190","9,146,187,670"
Colruyt,2021,"32,945",720,"3,122,657,737","938,998,795","12,637,098,979","9,084,326,602"
Colruyt,2022,"32,996",744,"2,876,142,303","946,987,067","10,741,383,094","8,473,188,839"
Colruyt,2023,"33,273",774,"2,997,332,228","922,298,990","10,814,276,478","7,713,499,463"
Colruyt,2024,"33,575",762,"3,190,738,938","819,863,681","11,732,987,125","8,237,909,770"
Jeronimo Martins,2020,"118,210","4,400","4,464,104,869","1,229,301,143","24,350,007,134","19,016,039,184"
Jeronimo Martins,2021,"123,458","4,867","4,557,871,776","1,380,946,658","26,034,832,797","20,430,033,951"
Jeronimo Martins,2022,"131,094","5,318","4,924,909,257","1,725,625,327","29,340,253,810","23,177,471,328"
Jeronimo Martins,2023,"134,379","5,729","5,523,579,113","1,983,391,497","33,914,886,558","26,988,528,878"
Jeronimo Martins,2024,"139,907","6,081","6,125,716,759","2,160,553,933","36,204,695,445","28,792,599,805"
Seven & i,2020,"135,332","79,000","13,756,668,307","1,139,975,833","32,370,922,391","24,929,427,210"
Seven & i,2021,"170,757","80,000","16,835,912,423","1,770,461,778","53,346,826,399","43,206,732,048"
Seven & i,2022,"167,248","85,000","19,623,160,818","1,961,808,894","71,911,073,003","59,570,894,074"
Seven & i,2023,"157,177","85,800","19,513,775,763","1,922,143,392","66,822,243,298","54,682,537,039"
Seven & i,2024,"152,859","85,816","20,243,836,250","2,064,965,335","68,288,827,996","56,030,643,777"
Sun Art Retail,2020,"123,449",528,"3,152,116,032","1,439,000,099","17,302,139,624","13,419,576,195"
Sun Art Retail,2021,"122,010",602,"3,267,133,933","1,386,934,301","12,067,027,376","9,496,142,166"
Sun Art Retail,2022,"107,785",582,"2,920,637,453","1,185,376,779","11,265,555,690","8,811,711,052"
